sample_index,actual_rps,predicted_rps,absolute_error,squared_error
0,27.7544,36.044983,8.290583,68.73376
1,26.399021,36.85863,10.45961,109.40344
2,24.224764,36.774628,12.549864,157.49908
3,24.224764,36.423313,12.198549,148.80461
4,24.224764,35.469475,11.244711,126.44353
5,26.679209,34.44654,7.767332,60.331448
6,26.679209,33.636852,6.9576435,48.408802
7,26.679209,32.796944,6.117735,37.42668
8,29.018734,31.738167,2.7194328,7.3953147
9,29.018734,30.914206,1.8954716,3.5928125
10,29.018734,30.423763,1.4050293,1.9741073
11,34.248642,30.686398,3.5622444,12.689586
12,34.248642,31.054756,3.1938858,10.200907
13,34.248642,31.437714,2.8109283,7.901318
14,36.098866,32.222134,3.8767319,15.02905
15,36.098866,32.865124,3.2337418,10.457086
16,36.098866,33.335335,2.7635307,7.637102
17,37.01485,34.727737,2.2871132,5.230887
18,37.01485,35.884724,1.130127,1.2771869
19,37.01485,36.74809,0.26676178,0.071161844
20,38.53573,37.70757,0.82815933,0.6858479
21,38.53573,38.393032,0.14269638,0.020362258
22,38.53573,38.824135,0.28840637,0.08317824
23,38.43931,39.262238,0.8229294,0.6772128
24,47.9033,39.517483,8.3858185,70.32195
25,47.9033,39.62956,8.273743,68.45482
26,53.72903,39.99662,13.73241,188.5791
27,60.08752,40.266064,19.821457,392.89017
28,60.08752,40.44391,19.643612,385.8715
29,69.69677,40.575237,29.121532,848.06366
30,62.429035,42.733562,19.695473,387.91165
31,62.429035,44.35666,18.072376,326.61078
32,60.371468,46.731068,13.6404,186.06052
33,59.791878,49.902203,9.889675,97.80567
34,59.791878,52.611706,7.180172,51.55487
35,59.791878,56.486183,3.3056946,10.927617
36,57.48764,58.29987,0.81222916,0.6597162
37,57.48764,59.272778,1.7851372,3.1867146
38,57.48764,59.14723,1.6595879,2.754232
39,62.966213,58.402233,4.56398,20.829914
40,62.966213,57.419636,5.5465775,30.76452
41,62.966213,56.43177,6.534443,42.698944
42,62.471878,55.281437,7.190441,51.702442
43,62.471878,54.340103,8.131775,66.12576
44,62.471878,53.751152,8.720726,76.05106
45,60.828255,54.543755,6.2845,39.49494
46,60.828255,55.45439,5.373863,28.878407
47,60.828255,56.46244,4.365814,19.060333
48,59.42427,57.06328,2.3609924,5.574285
49,59.42427,57.457954,1.9663162,3.8663995
50,59.42427,57.628994,1.7952766,3.2230182
51,63.281487,57.32716,5.9543266,35.454006
52,63.281487,56.946804,6.3346825,40.1282
53,63.281487,56.570972,6.710514,45.031
54,65.443,55.949215,9.493786,90.13197
55,65.443,55.43859,10.00441,100.08822
56,65.443,55.06965,10.373352,107.60643
57,66.10396,55.672123,10.431835,108.82319
58,66.10396,56.335888,9.76807,95.4152
59,66.10396,56.953476,9.150482,83.73132
60,64.6274,57.86507,6.762333,45.729145
61,63.268436,58.610447,4.6579895,21.696867
62,63.268436,59.142067,4.1263695,17.026924
63,61.116932,59.56278,1.5541534,2.4153929
64,57.1278,59.811543,2.6837425,7.202474
65,57.1278,59.91829,2.7904892,7.78683
66,54.897213,59.597855,4.7006416,22.096031
67,56.754326,58.955177,2.2008514,4.843747
68,56.754326,58.363495,1.609169,2.5894248
69,54.838608,57.527092,2.6884842,7.227947
70,58.62436,56.0669,2.5574608,6.5406055
71,58.62436,54.768482,3.855877,14.867786
72,58.62436,53.36815,5.2562103,27.627747
73,63.111248,52.622105,10.489143,110.022125
74,63.111248,52.34993,10.761318,115.80597
75,63.111248,51.989834,11.121414,123.68585
76,69.3663,52.53398,16.832321,283.32703
77,69.3663,53.182453,16.18385,261.917
78,69.3663,53.790627,15.575676,242.60168
79,69.55606,55.145668,14.410393,207.65942
80,69.55606,56.345825,13.210236,174.51033
81,69.55606,57.26037,12.295692,151.18405
82,73.7538,59.04853,14.705269,216.24493
83,73.7538,60.537693,13.216106,174.66547
84,73.7538,61.600616,12.153183,147.69986
85,70.428024,62.319202,8.108822,65.75299
86,70.428024,62.70334,7.7246857,59.67077
87,70.428024,62.74665,7.6813736,59.0035
88,71.21668,63.472237,7.744446,59.97644
89,71.21668,64.027534,7.189148,51.68385
90,71.21668,64.41414,6.8025436,46.2746
91,69.55009,64.14372,5.4063644,29.228777
92,69.55009,63.703655,5.8464317,34.180763
93,69.55009,63.1957,6.3543854,40.378212
94,71.90494,62.95671,8.948227,80.07076
95,71.90494,62.771496,9.133442,83.41976
96,71.90494,62.657375,9.247562,85.51741
97,73.115715,62.3048,10.810917,116.87592
98,72.362946,62.002743,10.360203,107.3338
99,72.362946,61.76547,10.597477,112.30652
100,73.53705,62.10166,11.435387,130.76807
101,70.08816,62.4788,7.609356,57.902298
102,70.08816,62.842163,7.2459946,52.504436
103,67.04943,63.316963,3.7324677,13.931314
104,58.619797,63.585266,4.9654694,24.655886
105,58.619797,63.754055,5.1342583,26.360607
106,52.28652,64.05696,11.770443,138.54333
107,48.11757,63.64246,15.524891,241.02223
108,48.11757,63.159946,15.042377,226.27312
109,48.11757,62.10289,13.985321,195.5892
110,48.373463,59.588825,11.215363,125.784355
111,48.373463,57.28608,8.912617,79.43474
112,48.373463,54.10498,5.731518,32.850296
113,57.713867,50.643204,7.0706635,49.99428
114,57.713867,47.86687,9.846996,96.96333
115,57.713867,45.910347,11.80352,139.32309
116,66.39549,44.86504,21.530453,463.5604
117,66.39549,44.75601,21.639484,468.26727
118,66.39549,45.377186,21.018307,441.76923
119,62.864227,48.300476,14.563751,212.10284
120,62.864227,50.393364,12.470863,155.52243
121,62.864227,52.18224,10.681988,114.104866
122,58.34438,55.109684,3.2346954,10.463255
123,58.34438,57.59913,0.7452507,0.5553986
124,58.34438,59.42141,1.0770302,1.159994
125,62.6747,59.88647,2.788231,7.7742314
126,62.6747,59.799194,2.8755074,8.268542
127,62.6747,59.349884,3.3248177,11.054413
128,63.19631,57.848656,5.3476524,28.597387
129,63.19631,56.373646,6.8226624,46.54872
130,63.19631,55.127357,8.068951,65.10796
131,65.23171,55.196564,10.035149,100.70421
132,65.23171,55.527702,9.70401,94.16781
133,65.23171,55.98953,9.242184,85.41796
134,57.692307,56.698986,0.99332047,0.9866856
135,57.692307,57.28137,0.41093826,0.16887026
136,57.692307,57.694893,0.0025863647,6.6892826e-06
137,61.058464,58.286716,2.7717476,7.682585
138,61.058464,58.74114,2.3173256,5.369998
139,61.058464,59.0483,2.0101624,4.040753
140,60.541992,57.67826,2.8637314,8.200957
141,63.174408,56.28878,6.8856277,47.41187
142,63.174408,55.084442,8.089966,65.44755
143,66.4879,54.826008,11.661892,135.99973
144,65.11567,54.88142,10.234249,104.73985
145,65.11567,55.11893,9.996738,99.93478
146,65.39791,55.347805,10.050106,101.00463
147,59.435844,56.08779,3.348053,11.209458
148,59.435844,56.768116,2.6677284,7.116775
149,54.821712,57.98822,3.1665077,10.026772
150,54.116104,58.74066,4.6245575,21.386532
151,54.116104,59.236073,5.1199684,26.214077
152,54.116104,59.44114,5.325035,28.355999
153,56.224205,58.32778,2.1035767,4.425035
154,56.224205,57.161392,0.9371872,0.87831986
155,56.224205,55.326683,0.897522,0.8055457
156,62.49588,53.558105,8.937775,79.88382
157,62.49588,51.98663,10.509251,110.44435
158,62.49588,50.904987,11.590893,134.3488
159,69.68066,50.992104,18.688553,349.262
160,69.68066,51.387756,18.2929,334.6302
161,69.68066,51.86025,17.820408,317.56693
162,71.82224,53.51572,18.306522,335.12875
163,71.82224,55.07523,16.747013,280.46243
164,71.82224,56.372795,15.449448,238.68542
165,74.470825,58.628418,15.842407,250.98187
166,71.59973,60.509674,11.090057,122.98937
167,71.59973,61.83671,9.76302,95.31655
168,70.34209,63.06956,7.272526,52.889633
169,70.63555,63.868343,6.767208,45.795105
170,70.63555,64.259186,6.3763657,40.65804
171,68.72537,64.863045,3.8623276,14.917574
