service,samples,mae,exact_match_accuracy,under_scaled,over_scaled,actual_avg,predicted_avg,actual_min,actual_max
adservice,89,0.033707865,0.9662921348314607,0,3,2.022472,2.0561798,1.0,3.0
cartservice,82,0.5243902,0.47560975609756095,0,43,1.4756098,2.0,1.0,2.0
checkoutservice,87,0.011494253,0.9885057471264368,1,0,1.0114943,1.0,1.0,2.0
currencyservice,91,0.06593407,0.945054945054945,0,5,2.8901098,2.956044,1.0,3.0
emailservice,87,0.0,1.0,0,0,1.0,1.0,1.0,1.0
frontend,91,0.24175824,0.7582417582417582,1,21,4.6043954,4.824176,1.0,5.0
paymentservice,87,0.0,1.0,0,0,1.0,1.0,1.0,1.0
productcatalogservice,81,0.037037037,0.9629629629629629,0,3,1.962963,2.0,1.0,2.0
recommendationservice,92,0.10869565,0.8913043478260869,0,10,2.7608695,2.8695652,1.0,3.0
shippingservice,105,0.0,1.0,0,0,1.0,1.0,1.0,1.0
