target,mae,rmse,unit
adservice_cpu,0.04707316309213638,0.05781704983012515,cores
adservice_memory,3.006784439086914,3.589661237624425,MB
cartservice_cpu,0.016830161213874817,0.02101081024666875,cores
cartservice_memory,5.354750156402588,6.954966234883469,MB
checkoutservice_cpu,0.009731057099997997,0.012860748748466815,cores
checkoutservice_memory,1.1360355615615845,1.3792271227229718,MB
currencyservice_cpu,0.03583645075559616,0.04964076911117677,cores
currencyservice_memory,6.739861965179443,9.822621950250303,MB
emailservice_cpu,0.00529867596924305,0.006653799852791118,cores
emailservice_memory,0.7068697214126587,0.8949307544922113,MB
frontend_cpu,0.04694082960486412,0.06414653729337669,cores
frontend_memory,4.357903480529785,6.881484147054479,MB
paymentservice_cpu,0.005384787917137146,0.007159784607524814,cores
paymentservice_memory,1.8652904033660889,2.3762353394771996,MB
productcatalogservice_cpu,0.041605088859796524,0.0502275763993928,cores
productcatalogservice_memory,1.0083948373794556,1.3100913061834334,MB
recommendationservice_cpu,0.08246196061372757,0.11082900410218395,cores
recommendationservice_memory,20.32493782043457,23.667871722135658,MB
redis-cart_cpu,0.0025152063462883234,0.003365792295346533,cores
redis-cart_memory,1.0178205966949463,1.2298334328363223,MB
shippingservice_cpu,0.003674882696941495,0.005150796483786014,cores
shippingservice_memory,0.9783480167388916,1.2429509725684036,MB
